SimulationName,DataSource,DataStoragePrecision,GeographicPrecision,TemporalPrecision,GridSpacing,QueryTime,DatabaseSize,UsedSystemMemory,CPU %,Date
test_1416782176290,SIMULATION,2,75,75,15,0,1558,57392.0,190.4,04:37:39.951
test_1416782176290,SIMULATION,2,75,75,15,0,1599,63947.0,183.1,04:37:46.952
test_1416782176290,SIMULATION,2,75,75,15,0,1640,7116.0,193.0,04:37:53.999
test_1416782176290,SIMULATION,2,75,75,15,0,1681,11830.0,185.5,04:38:01.032
test_1416782176290,SIMULATION,2,75,75,15,0,1722,14186.0,202.7,04:38:08.063
test_1416782176290,SIMULATION,2,75,75,15,0,1763,17590.0,187.5,04:38:15.083
test_1416782176290,SIMULATION,2,75,75,15,0,1804,22039.0,180.5,04:38:22.111
test_1416782176290,SIMULATION,2,75,75,15,0,1845,27532.0,184.0,04:38:29.144
test_1416782176290,SIMULATION,2,75,75,15,0,1886,31592.0,201.3,04:38:36.174
test_1416782176290,SIMULATION,2,75,75,15,0,1927,33949.0,225.2,04:38:43.206
test_1416782176290,SIMULATION,2,75,75,15,0,1968,37351.0,228.0,04:38:50.233
test_1416782176290,SIMULATION,2,75,75,15,0,2009,40753.0,217.7,04:38:57.265
test_1416782176290,SIMULATION,2,75,75,15,0,2050,44157.0,208.3,04:39:04.291
test_1416782176290,SIMULATION,2,75,75,15,0,2091,49261.0,190.9,04:39:11.320
test_1416782176290,SIMULATION,2,75,75,15,0,2132,53712.0,207.6,04:39:18.346
test_1416782176290,SIMULATION,2,75,75,15,0,2173,57115.0,220.5,04:39:25.378
test_1416782176290,SIMULATION,2,75,75,15,0,2214,59471.0,210.8,04:39:32.401
test_1416782176290,SIMULATION,2,75,75,15,0,2255,62156.0,210.0,04:39:39.428
test_1416782176290,SIMULATION,2,75,75,15,0,2296,67587.0,207.7,04:39:46.459
test_1416782176290,SIMULATION,2,75,75,15,0,2337,71320.0,199.1,04:39:53.494
test_1416782176290,SIMULATION,2,75,75,15,0,2378,11760.0,184.4,04:40:00.523
test_1416782176290,SIMULATION,2,75,75,15,0,2419,15297.0,185.6,04:40:07.552
test_1416782176290,SIMULATION,2,75,75,15,0,2460,18835.0,186.8,04:40:14.580
test_1416782176290,SIMULATION,2,75,75,15,0,2501,25075.0,173.4,04:40:21.605
test_1416782176290,SIMULATION,2,75,75,15,0,2542,28612.0,183.5,04:40:28.635
test_1416782176290,SIMULATION,2,75,75,15,0,2583,33099.0,202.0,04:40:35.655
test_1416782176290,SIMULATION,2,75,75,15,0,2624,37588.0,201.8,04:40:42.682
test_1416782176290,SIMULATION,2,75,75,15,0,2665,42517.0,209.6,04:40:49.712
test_1416782176290,SIMULATION,2,75,75,15,0,2706,46484.0,216.1,04:40:56.735
test_1416782176290,SIMULATION,2,75,75,15,0,2747,50022.0,214.8,04:41:03.769
test_1416782176290,SIMULATION,2,75,75,15,0,2788,54002.0,197.1,04:41:10.792
test_1416782176290,SIMULATION,2,75,75,15,0,2829,57540.0,197.3,04:41:17.822
test_1416782176290,SIMULATION,2,75,75,15,0,2870,62027.0,205.5,04:41:24.853
test_1416782176290,SIMULATION,2,75,75,15,0,2911,67465.0,189.2,04:41:31.876
test_1416782176290,SIMULATION,2,75,75,15,0,2952,71445.0,182.0,04:41:38.903
test_1416782176290,SIMULATION,2,75,75,15,0,2993,10632.0,183.4,04:41:45.933
test_1416782176290,SIMULATION,2,75,75,15,0,3034,14023.0,207.4,04:41:52.966
test_1416782176290,SIMULATION,2,75,75,15,0,3075,18289.0,206.7,04:42:00.002
test_1416782176290,SIMULATION,2,75,75,15,0,3116,22857.0,230.3,04:42:07.033
test_1416782176290,SIMULATION,2,75,75,15,0,3157,28657.0,227.8,04:42:14.062
test_1416782176290,SIMULATION,2,75,75,15,0,3198,33226.0,217.6,04:42:21.093
test_1416782176290,SIMULATION,2,75,75,15,0,3239,36617.0,229.6,04:42:28.124
test_1416782176290,SIMULATION,2,75,75,15,0,3280,41186.0,235.2,04:42:35.146
test_1416782176290,SIMULATION,2,75,75,15,0,3321,45730.0,214.4,04:42:42.169
test_1416782176290,SIMULATION,2,75,75,15,0,3362,49998.0,213.2,04:42:49.192
test_1416782176290,SIMULATION,2,75,75,15,0,3403,55443.0,212.1,04:42:56.219
test_1416782176290,SIMULATION,2,75,75,15,0,3444,59714.0,194.8,04:43:03.255
test_1416782176290,SIMULATION,2,75,75,15,0,3485,63406.0,195.2,04:43:10.288
test_1416782176290,SIMULATION,2,75,75,15,0,3526,68001.0,187.9,04:43:17.342
test_1416782176290,SIMULATION,2,75,75,15,0,3567,72267.0,188.8,04:43:24.347
test_1416782176290,SIMULATION,2,75,75,15,0,3608,13261.0,197.7,04:43:31.377
test_1416782176290,SIMULATION,2,75,75,15,0,3649,17612.0,190.0,04:43:38.408
test_1416782176290,SIMULATION,2,75,75,15,0,3690,21751.0,182.8,04:43:45.435
